Discount, Price After Discount
0.07500000000000001,3011.9850000000006
0.3,2015.888
0.060000000000000005,1609.8346
0.025,49.393499999999996
0.15000000000000002,2020.1439999999998
0.12000000000000001,1681.0288
0.025,210.95100000000002
0.025,401.076
0.060000000000000005,1503.8495999999998
0.060000000000000005,1889.0898
0.025,1144.3477500000001
0.025,47.90175
0.11,2108.499
0.13,941.9402999999999
0.060000000000000005,1117.378
0.12,109.0848
0.025,130.572
0.05,1661.436
0.11,109.3365
0.025,44.577
0.025,841.386
0.14,1552.3344
0.035,1534.6298499999998
0.035,2013.13475
0.035,2577.4764
0.07500000000000001,1587.9105000000002
0.025,407.7255
0.060000000000000005,2362.3516
0.060000000000000005,2336.8212
0.025,358.9755
0.265,108.93435000000001
0.05,2108.0025
0.05,182.59949999999998
0.055,526.4784
0.0,153.31
0.05,246.696
0.1,2862.0
0.035,2279.6195
0.05,757.606
0.025,659.4119999999999
0.060000000000000005,1019.5146000000001
0.060000000000000005,2405.2908
0.05,3073.668
0.025,11.20275
0.060000000000000005,484.1563999999999
0.0,330.09000000000003
0.025,132.19050000000001
0.060000000000000005,1934.9712
0.05,1642.55
0.07500000000000001,1800.6697500000002
0.060000000000000005,399.33079999999995
0.060000000000000005,2582.1048
0.0,521.8199999999999
0.035,50.20895
0.025,69.07875
0.025,49.0425
0.07500000000000001,356.53200000000004
0.025,924.651
0.025,1269.3915
0.1,30.024
0.05,2615.008
0.125,1230.6349999999998
0.0,123.8
0.025,746.3040000000001
0.115,1895.4930000000002
0.0,416.8
0.015,161.5794
0.0,572.52
0.155,1658.6843
0.07500000000000001,68.71825000000001
0.025,167.661
0.0,827.0
0.085,958.1880000000001
0.060000000000000005,1641.7099999999998
0.07500000000000001,1429.5412500000002
0.060000000000000005,3158.1367999999998
0.025,739.48875
0.060000000000000005,576.596
0.175,63.39299999999999
0.060000000000000005,1121.6079999999997
0.060000000000000005,1243.2815999999998
0.060000000000000005,1983.4188
0.05,1661.1035
0.07500000000000001,3696.3185000000003
0.0,129.03
0.035,601.4458999999999
0.055,1387.08045
0.07500000000000001,2766.9525
0.07500000000000001,198.02400000000003
0.025,716.0985000000001
0.060000000000000005,38.258
0.060000000000000005,1969.1496
0.0,399.72
0.025,68.94225
0.025,129.59699999999998
0.060000000000000005,884.0699999999999
0.035,2333.949
0.05,1109.619
0.05,506.50199999999995
0.05,356.364
0.045,497.50725
0.025,1108.2825
0.060000000000000005,1642.5089999999998
0.05,811.9649999999999
0.1,2879.55
0.060000000000000005,218.48419999999996
0.060000000000000005,2085.1079999999997
0.07500000000000001,1658.3585
0.025,574.22625
0.09,957.0834000000001
0.07500000000000001,3406.072
0.060000000000000005,859.2539999999999
0.0,618.96
0.065,73.304
0.13,153.8769
0.0,590.28
0.025,849.342
0.05,307.3345
0.07500000000000001,1162.392
0.07,206.83199999999997
0.07,1962.5976
0.07500000000000001,3855.9272499999997
0.3,1891.6799999999998
0.08499999999999999,121.3839
0.060000000000000005,1501.4243999999999
0.07500000000000001,185.2405
0.035,1404.4224000000002
0.05,956.46
0.05,1103.634
0.095,113.7766
0.025,387.72825
0.15000000000000002,337.977
0.060000000000000005,1763.0639999999999
0.13,97.0746
0.07500000000000001,1999.1192500000002
0.16999999999999998,164.67200000000003
0.025,616.9994999999999
0.0,234.17
0.025,1695.94425
0.075,47.591249999999995
0.07500000000000001,205.06325
0.035,2184.4512
